Key,Id,English(en),French(fr),German(de)
"Burlap",669752287232,"Burlap","Toile de jute","Sackleinen"
"Burlap Description",805106671616,"A piece of burlap. It'd be great as a bag for potatoes... or coffee","Un morceau de toile de jute. Ça serait parfait comme sac pour les pommes de terre... ou le café.","Ein Stück Sackleinen. Es wäre perfekt als Beutel für Kartoffeln... oder Kaffee."
"Chalcocite",48827077287936,"Chalcocite","Chalcocite","Chalkocit"
"Chalcocite Description",48828973113344,"If you can smelt this you'll get some copper.","Si vous pouvez fondre cela, vous obtiendrez du cuivre.","Wenn Sie dies schmelzen können, erhalten Sie etwas Kupfer."
"Clay",49360559202304,"Clay","Argile","Ton"
"Clay Description",49362421473280,"Clay! Make a bowl? or something? I guess?","Argile ! Fabriquer un bol ? Ou quelque chose ? Je suppose ?","Ton! Einen Becher? Oder so etwas? Nehme ich an?"
"Cloth",1782635356160,"Cloth","Tissu","Stoff"
"Cloth Description",1824288989184,"A piece of cloth. You can't wear clothes if you're not clothed. But you can't change clothes anyways, so...","Un morceau de tissu. Vous ne pouvez pas porter des vêtements si vous n'êtes pas habillé. Mais de toute façon, vous ne pouvez pas changer de vêtements, alors...","Ein Stück Stoff. Du kannst keine Kleidung tragen, wenn du nicht bekleidet bist. Aber du kannst sowieso keine Kleidung wechseln, also..."
"Coal",49095697293312,"Coal","Charbon","Kohle"
"Coal Description",49097576341504,"Charcoal, dark and sooty, it can create high temperatures.","Le charbon de bois, sombre et suieux, peut atteindre des températures élevées.","Holzkohle, dunkel und rußig, kann hohe Temperaturen erzeugen."
"Copper",49894049505280,"Copper","Cuivre","Kupfer"
"Copper Description",49852572033024,"An orangey metal, kinda shinny, and might turn green! Though, I wouldn't count on it.","Un métal orangé, plutôt brillant, et il pourrait devenir vert ! Cependant, je ne compterais pas là-dessus.","Ein orangefarbenes Metall, ziemlich glänzend, und es könnte grün werden! Obwohl ich nicht darauf wetten würde."
"Dynamiblob",5058554552320,"Dynamiblob","Dynamoamas","Dynamofleck"
"Dynamiblob Description",5062589472768,"A dynamiblob...? Used to generate energy in certain crafting stations.","Un dynamoamas...? Utilisé pour générer de l'énergie dans certaines station de fabrication.","Ein Dynamofleck...? Wird zur Energieerzeugung in bestimmten Handwerksstationen verwendet."
"Fiber",5363522396160,"Fiber","Fibre","Faser"
"Fiber Description",5366219333632,"Plain old fiber, probably from a fibrous plant. I bet you could make some usefull things with it!","De la simple fibre, probablement d'une plante fibreuse. Je parie que vous pourriez en fabriquer des choses utiles !","Einfache Faser, wahrscheinlich von einer faserigen Pflanze. Ich wette, du könntest damit nützliche Dinge herstellen!"
"Fibrous Plant",715560364597248,"Fibrous Plant","Plante Fibreuse","Faserpflanze"
"Flax Fibers",32354187403264,"Flax Fibers","Fibres de lin","Leinfasern"
"Flax Fibers Description",32356003536896,"And from the flax, so came the linen...","Et du lin, est ainsi venu le lin...","Und aus dem Flachs entstand so das Leinen..."
"Gunther Crystal",95342661272657920,"Gunther Crystal","Crystal de Gunther","Gunther Crystal"
"Gunther Crystal Description",95342891611250688,"Ooooohhh, sparkly! Useful too!","Ooooohhh, scintillant! Utile aussi!","Ooooohhh, sparkly! Useful too!"
"Gunther Crystal Dust",95658719699329024,"Gunther Crystal Dust","Poussière de Crystal de Gunther ","Gunther Crystal Dust"
"Gunther Crystal Dust Description",95658725185478656,"This fine and sparkly dust has incredible properties, those just still need to be determined.","Cette poussière fine et scintillante a beaucoup de propriétés incroyable, il faut juste déterminé ce qu'elles sont","x"
"Gunther Crystal Shard",95343698930884608,"Gunther Crystal Shard","Eclat de Crystal de Gunther ","Gunther Crystal Shard"
"Gunther Crystal Shard Description",95343760280969216,"The things you could do with this sparkly item, oh, if you only knew.","Les choses que tu pourrais faire aved cet object, mais, si seulement tu savais!","The things you could do with this sparkly item, oh, if you only knew."
"Hard Wood",53683145990144,"Hard Wood","Bois dur","Hartholz"
"Hard Wood Description",53687067664384,"Wood, but this one is hard.","Du bois, mais celui-ci est dur.","Holz, aber dieses hier ist hart."
"Hematite",50226565537792,"Hematite","Hématite","Hämatit"
"Hematite Description",50234413080576,"If you can smelt this you'll get some iron.","Si vous pouvez fondre cela, vous obtiendrez du fer.","Wenn Sie dies schmelzen können, erhalten Sie etwas Eisen."
"Iron",50466869796864,"Iron","Fer","Eisen"
"Iron Description",50474490847232,"A bland looking hunk of very solid metal.","Un morceau de métal très solide à l'apparence terne.","Ein ziemlich solides, unscheinbares Stück Metall."
"Iron Wood",97192544191438848,"Iron Wood","Bois de fer","Iron Wood"
"Iron Wood Description",97192582611263488,"The strongest of woods. ","Le bois le plus fort.","x"
"Lens",170018168316157952,"Optical Lens","Lentille Optique","Optische Linse"
"Lens Description",170018248087625728,"Optical Lens Description","A utilisé avec les yeux. Meme que c'est dans des recettes, ça reste immangeable.","Zum durchgucken. Nicht essbar, auch wenn sie in einigen Rezepten auftauchen.
"
"Linen Thread",6543233310720,"Linen Thread","Fil de lin","Leinenzwirn"
"Linen Thread Description",6551219265536,"A fine, smooth thread... mmmm, almost soft.","Un fil fin et lisse... mmmm, presque doux.","Ein feiner, glatter Faden... mmmm, fast weich."
"Linseed",33268084301824,"Linseed","Graines de lin","Leinsamen"
"Linseed Description",33272131805184,"An incredibly useful seed,  you can cook with it or make a fancy oil for further crafting.","Une graine incroyablement utile, vous pouvez cuisiner avec ou en faire une huile de qualité pour d'autres fabrications.","Ein unglaublich nützlicher Samen, den Sie zum Kochen verwenden oder zu einem hochwertigen Öl für weitere Handwerksarbeiten verarbeiten können."
"Maze Ticket",37334740211654656,"Maze Ticket","Billet de Labyrinthe","Labyrinthticket"
"Maze Ticket Description",37335244484435968,"This ticket gives you one entrance to Asterion's maze. The maze is open in the afternoons and evenings.","Ce billet te donne une entrée au labyrinthe d'Asterion. Le labyrinthe est ouvert l'après-midi et le soir.","Mit diesem Ticket erhalten Sie einmal Zutritt zum Labyrinth von Asterion. Das Labyrinth ist nachmittags und abends geöffnet."
"Medium Wood",53977519022080,"Medium Wood","Bois moyen","Mittleres Holz"
"Medium Wood Description",53979188355072,"Wood, but of the medium variety.","Du bois, mais de variété moyenne.","Holz, aber von mittlerer Sorte."
"MetalSheet Copper",172578853977907200,"Copper Plate","Copper Plate","Copper Plate"
"MetalSheet Copper Description",172578962526494720,"Copper Plate Description","Copper Plate Description","Copper Plate Description"
"MetalSheet Iron",172579078826156032,"Iron Plate","Iron Plate","Iron Plate"
"MetalSheet Iron Description",172579130248323072,"Iron Plate Description","Iron Plate Description","Iron Plate Description"
"MetalSheet Platinum",172579176939315200,"Platinum Plate","Platinum Plate","Platinum Plate"
"MetalSheet Platinum Description",172579893833949184,"Platinum Plate Description","Platinum Plate Description","Platinum Plate Description"
"Plank",172555358455783424,"Wood Plank","Planche de Bois","Holz thing"
"Plank Description",172556054206930944,"Walk the plank.","Walk the plank.","Walk the plank."
"Platinum",50878595260416,"Platinum","Platine","Platin"
"Platinum Description",50882584043520,"A bright and shiny metal. ","Un métal brillant et luisant.","Ein helles und glänzendes Metall."
"Rope",7192704507904,"Rope","Corde","Seil"
"Rope Description",7199142764544,"Rope, made from basic fibers.","Corde, fabriquée à partir de fibres.","Seil, hergestellt aus Grundfasern."
"Sap",52363219492864,"Sap","Sève","Baumharz"
"Sap Description",52515342704640,"A gooey, sticky substance. Get that out of your fur!","Une substance gluante et collante. Retire ça de ta fourrure !","Eine klebrige, zähe Substanz. Bekomme das aus deinem Fell!"
"Soft Wood",54392625094656,"Soft Wood","Bois tendre","Weichholz"
"Soft Wood Description",54397222051840,"Wood, but of the softer variety.","Du bois, mais de la variété tendre.","Holz, aber von der weicheren Sorte."
"Solid Stick Description",52700491866112,"Well, it's a stick... of wood. But this seems pretty solid.","Eh bien, c'est un bâton... de bois. Mais cela semble plutôt solide.","Nun ja, es ist ein Stock... aus Holz. Aber das scheint ziemlich stabil zu sein."
"Sperrylite",51071726182400,"Sperrylite","Sperrylite","Sperrylit"
"Sperrylite Description",51073257103360,"If you can smelt this you'll get some platinum.","Si vous pouvez fondre cela, vous obtiendrez du platine.","Wenn Sie dies schmelzen können, erhalten Sie etwas Platin."
"SquonkTears",171428800454254592,"Squonk Tears","Larmes de Squonk","Squonk Tränen"
"SquonkTears Description",171428909447438336,"SquonkTears Description","SquonkTears Description","SquonkTears Description"
"Stick Solid",52696918319104,"Solid Stick","Bâton solide","Fester Stock"
"Stick Weak",53097658900480,"Weak Stick","Bâton faible","Schwacher Stock"
"Stick Weak Description",53141577457664,"Well, it's a stick... of wood. Kinda weak.","Eh bien, c'est un bâton... en bois. Plutôt faible.","Nun ja, es ist ein Stock... aus Holz. Ziemlich schwach."
"Stone",2699686371328,"Stone","Pierre","Stein"
"Stone Description",2774911213568,"This is a small stone, made of stone.","Ceci est une petite pierre, faite de pierre.","Dies ist ein kleiner Stein, aus Stein gemacht."
"Twine",8852990386176,"Twine","Cordage","Bindfaden"
"Twine Description",8863748775936,"Twine, a rough and very itchy string. I dare you to make a sweater with it!","Cordage, un fil rugueux et très irritant. Je te mets au défi de faire un pull avec !","Bindfaden, eine grobe und sehr kratzige Schnur. Ich fordere dich heraus, damit einen Pullover zu stricken!"
"Wheat",35232369139712,"Wheat","Blé","Weizen"
"Wheat Description",35235271598080,"Reminiscent of the gold light at dusk... well, you can grind it in a mill and make bread also.","Rappelant la lumière dorée au crépuscule... eh bien, vous pouvez le moudre dans un moulin et en faire du pain aussi.","Erinnert an das goldene Licht in der Abenddämmerung... nun, du kannst es in einer Mühle mahlen und auch Brot machen."
"Wheat Flour",35562603470848,"Wheat Flour","Farine de blé","Weizenmehl"
"Wheat Flour Description",35564369272832,"I'll bet you there's more than just one flour in this bag, so we shall call it flours.","Je parie qu'il y a plus d'une farine dans ce sac, nous l'appellerons donc des farines.","Ich wette, es gibt mehr als nur ein Mehl in diesem Beutel, also nennen wir es Mehlsorten."